"YER","ريال يمني"
"SAR","ريال سعودي"
"USD","دولار امريكي"
"YemenExpress","يمن اكسبرس"
"Al-emtiyaz","الامتياز"
"Al-najm","النجم"
"WeCash","وي كاش"
"Main User","المستخدم الرئيسي"
"Branch","الفرع"
"Skip SSL Verify","تخطي التحقق من SSL"
"Remittance","حوالة"
"More Details","تفاصيل أكثر"
"Offer Detail","تفاصيل العرض"
"Applicable To (User)","التطبيق على (المستخدم)"
"Send Notification","إرسال ملاحظات"
"Authentication Type","نوع المصادقة"
"Approving Role (above authorized value)","اعتمادية القاعدة (أعلى من القيمة المسموحة)"
"Bulk Payment Template","قالب المدفوعات الجماعية"
"Phone Number","رقم الهاتف"
"Notes","ملاحظات"
"Fee Currency","عملة العمولة"
"Authorized Value","القيمة المعتمدة"
"Wallet Bulk Payment Transactions","عمليات المدفوعات الجماعية"
"Amounts","المبالغ"
"Amount","المبلغ"
"Wallet User","مستخدم المحفظة"
"Offers","العروض"
"Wallet Payment Log","سجل الدفع الفردية"
"Company Wallet Configration","إعدادات الشركة"
"Voucher No","رقم المستند"
"Payment Channel","قناة الدفع"
"Main User Role","دور المستخدم الرئيسي"
"Wallet Company","محفظة الشركة"
"About and Help","من نحن والمساعدة"
"Transactions","العمليات"
"Create Company","إنشاء شركة"
"Per","لكل"
"Recipient Phone","رقم المستلم"
"area","المنطقة"
"Bulk Transaction","المعاملات الجماعية"
"X Coordinate","إحداثيات الموقع الأفقي (X)"
"Fee Amount","مبلغ العمولة"
"Express Number","رقم الإكسبرس"
"Company Location","موقع الشركة"
"List View","عرض القائمة"
"Applicable To (Wallet User)","التطبيق على (مستخدم المحفظة)"
"Remittance Provider","مزود خدمة الشبكة"
"Offer Type","نوع العرض"
"Offer Name","اسم العرض"
"Approving User (above authorized value)","الموافقة على المستخدم (فوق القيمة المسموحة)"
"Applicable To (Role)","التطبيق على (القاعدة)"
"Wallet Payment","الدفع الفردية"
"Agent","وكيل"
"Role Allowed To Update API Wallet","الدور المسموح له بتحديث محفظة واجهة برمجة التطبيقات (API)"
"Bulk Payment Details","تفاصيل المدفوعات الجماعية"
"Content not found for the subject: {subject}","{subject} لا يوجد محتوى لهذا العنوان "
"Cancel {name} done successfully","تم بنجاح الغاء المستند {name}"
"Bulk Payment Template not found","هذا النموذج غير موجود"
"No Data Found!","لا توجد بيانات!"
"No Data Offers Found!","لا توجد بيانات"
"No offers have been seen yet!","لا توجد عروض تم مشاهدتها بعد!"
"There is no phone prefix in <a href='{url}' target='_blank'>{name}</a> doctype","<a href='{url}' target='_blank'>{name}</a> لا توجد بادئة لأرقام الهاتف في الجدول "
"Row #{idx}: Phone number length must be {phone_length} digits","رقما {phone_length} طول رقم الهاتف يجب أن يكون #{idx}: الصف"
"Row #{idx}: Phone number must start with {prefixes}","{prefixes} رقم الهاتف يجب أن يبدأ بــ #{idx}: الصف "
"Error: Value missing for {0}: {1}"," {0}: {1} القيمة مفقودة لـ "
"Please enter Approving Role or Approving User","يرجى إدخال دور او صلاحية صحيحة او مستخدم مخول"
"Approving User cannot be same as user the rule is Applicable To","المستخدم المخول لايمكن أن يكون نفس مستخدم الصلاحية في ال -التطبيق لـ -"
"Approving Role cannot be same as role the rule is Applicable To","الصلاحية المخولة لا يمكن ان تكون نفس صلاحية الدور في ال - التطبيق لـ -"
""Choose Currency Field","اختر حقل العملة"
"Cannot get currency review option of {field} in customize"," في التخصيص {field} لا يمكن الحصول على العملة راجع خيارات "
"Failed to send notification!, see error log for more details","فشل عملية ارسال الاشعار, يرجى مراجعة سجل الخطأ لمزيد من التفاصيل"
"Can't delete payment channel","الحذف غير ممكن!"
"Cann't delete Remittance Provider!","الحذف غير ممكن"
